流水號,授課對象,課號,班次,課程名稱,簡介影片,學分,課程識別碼,全/半年,必/選修,授課教師,加選方式,時間教室,總人數,選課限制條件,備註,課程網頁,本學期我預計要選的課程,classroom,time_0_0,time_0_1,time_0_2,time_0_3,time_0_4,time_0_5,time_0_6,time_0_7,time_0_8,time_0_9,time_0_10,time_0_11,time_0_12,time_0_13,time_0_14,time_1_0,time_1_1,time_1_2,time_1_3,time_1_4,time_1_5,time_1_6,time_1_7,time_1_8,time_1_9,time_1_10,time_1_11,time_1_12,time_1_13,time_1_14,time_2_0,time_2_1,time_2_2,time_2_3,time_2_4,time_2_5,time_2_6,time_2_7,time_2_8,time_2_9,time_2_10,time_2_11,time_2_12,time_2_13,time_2_14,time_3_0,time_3_1,time_3_2,time_3_3,time_3_4,time_3_5,time_3_6,time_3_7,time_3_8,time_3_9,time_3_10,time_3_11,time_3_12,time_3_13,time_3_14,time_4_0,time_4_1,time_4_2,time_4_3,time_4_4,time_4_5,time_4_6,time_4_7,time_4_8,time_4_9,time_4_10,time_4_11,time_4_12,time_4_13,time_4_14,time_5_0,time_5_1,time_5_2,time_5_3,time_5_4,time_5_5,time_5_6,time_5_7,time_5_8,time_5_9,time_5_10,time_5_11,time_5_12,time_5_13,time_5_14,time_6_0,time_6_1,time_6_2,time_6_3,time_6_4,time_6_5,time_6_6,time_6_7,time_6_8,time_6_9,time_6_10,time_6_11,time_6_12,time_6_13,time_6_14,A1,A2,A3,A4,A5,A6,A7,A8
28415,醫學系,Med2022, , 生理學甲上,  ,4.0,401 24311,全年,必帶,胡孟君,2,"三1,2,3,4(基醫302)五6,7,8,9(基醫302)",170,本校修課人數上限：170人,"本課程中文授課,使用英文教科書。上課教室含B2實驗室。與蔡佳醍、郭鐘金、湯志永、余佳慧、賴亮全、林水龍、李宗玄、張哲逢合授",    , ,基醫302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66889,醫學系,Med2002, , 小組討論一,  ,2.0,401 27200,半年,必帶,謝正宜,2,"一8,9(請洽系所辦)  ",180,"限本系所學生(含輔系、雙修生),本校修課人數上限：180人",限醫學系學生。上課地點：小班教室01-20與張鎔麒、劉旺達、張允亮、李苑如合開。與黃聖懿、許巍鐘、侯君翰、詹其峰、戴仰霞、李志元、姚建安、邱偉益、陳美志、吳經閔、江盈澄、翁妏謹、蔡宏斌、林坤霈、林家瑋、林建嶔、劉欣瑜、黃士維、沈盈君合授,    , ,請洽系所辦,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60313,醫學系,Med2028, , 人文與醫學體驗學習(一),  ,1.0,401 29240,半年,選修,吳造中,2, ,15(含開放臺大系統人數:4),本校修課人數上限：11人,週六或週日8:30-12:30或13:30-17:30於醫學人文館209討論室。醫學1年級優先,   , ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83530,醫學系,Med2030, , 人文與醫學體驗學習(三),  ,1.0,401 29260,半年,選修,吳造中,2, ,15(含開放臺大系統人數:4),本校修課人數上限：11人,週六或日8:30~12:30或13:30~17:30醫學人文館210討論室。醫學系二年級優先選修與陳慧玲、陳彥元、蔡詩力、楊志偉合授,   , ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54801,醫學系,Med3070, , 大體解剖學上,  ,3.0,401 30441,全年,必帶,王淑慧,2,"二1,2,3(基醫501)",195,本校修課人數上限：195人,依課程表上課.含1東實驗室.醫三牙三外須取得教師同意方可選.與葉啟娟合開.與梁金銅、謝榮賢、呂俊宏、謝松蒼、曾國藩、黃敏銓、陳玉怜、李立仁、賴逸儒、龔秀妮、張銘峰、廖孟琳、蔡詩力合授,    , ,基醫501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13702,醫學系,Med3072, , 大體解剖學實驗上,  ,1.0,401 30451,全年,必帶,王淑慧,2,"二4,6,7(基醫501)三6,7(基醫501)",195,本校修課人數上限：195人,"本課程中文授課,使用英文教科書。依課程表上課.含1東實驗室.醫三牙三外須取得教師同意方可選.與呂俊宏、謝松蒼、黃敏銓、陳玉怜、李立仁、賴逸儒、龔秀妮、張銘峰、廖孟琳合授",    , ,基醫501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68107,醫學系,Med3051, , 組織學上,  ,3.0,401 30501,全年,必帶,龔秀妮,2,"一1,2,3,4(基醫501)二8,9(基醫501)",195,本校修課人數上限：195人,"本課程中文授課,使用英文教科書。依課程表上課.含3東實驗室.醫三牙三外須取得教師同意方可選。與呂俊宏、謝松蒼、錢宗良、盧國賢、黃敏銓、陳玉怜、王淑慧、許書豪、林能裕、張銘峰、廖孟琳合授",    , ,基醫501,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32258,醫學系,Med3053, , 胚胎學上,  ,1.0,401 31301,全年,必帶,黃敏銓,2,"三8,9(基醫501)",195,本校修課人數上限：195人,"本課程中文授課,使用英文教科書。請依課表上課時段上課。與黃韻如、陳玉怜、李立仁、賴逸儒、龔秀妮、林能裕、張銘峰、廖孟琳合授",    , ,基醫501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57410,醫學系,Med3009, , 生物化學,  ,4.0,401 32000,半年,必帶,李明學,2,"三3,4(基醫501)四3,4(基醫501)五2(基醫501)",220,"限本系所學生(含輔系、雙修生) 且 限學士班二年級以上,本校修課人數上限：220人","本課程中文授課,使用英文教科書。開學後加選請向醫學院生化分生所所辦取得授權碼。與周綠蘋、張明富、游偉絢、詹迺立、顏伯勳、余明俊、林敬哲、曾秀如、歐展言、劉旻禕、陳炳宏合授",   , ,基醫501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26536,醫學系,Med3010, , 生物化學實驗,  ,2.0,401 32200,半年,必帶,李明學,2,"五3,4,6,7,8,9(請洽系所辦)  ",220,"限本系所學生(含輔系、雙修生) 且 限學士班二年級以上,本校修課人數上限：220人","本課程中文授課,使用英文教科書。開學後加選請向生化分生所取得授權碼,五34上PA:基醫501/302,五6實驗講解:基醫501與周綠蘋、張明富、游偉絢、詹迺立、顏伯勳、余明俊、林敬哲、曾秀如、劉旻禕、陳炳宏合授",   , ,請洽系所辦,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
